#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
573.12860_contigs.fasta	573.12860_C0	227771	229519	-	msbA	1-1749/1749	===============	0/0	100.00	80.62	card	U00096.3:966620-968369	MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.	nitroimidazole
573.12860_contigs.fasta	573.12860_C1	249494	250206	-	baeR	1-713/723	===============	0/0	98.62	81.35	card	AP009048.1:2166412-2167135	BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.	aminocoumarin;aminoglycoside
573.12860_contigs.fasta	573.12860_C1	253095	256172	-	mdtC	1-3078/3078	===============	0/0	100.00	81.61	card	U00096:2158385-2161463	MdtC is a transporter that forms a heteromultimer complex with MdtB to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex. In the absence of MdtB MdtC can form a homomultimer complex that results in a functioning efflux complex with a narrower drug specificity. mdtC corresponds to 3 loci in Pseudomonas aeruginosa PAO1 (gene name: muxC/muxB) and 3 loci in Pseudomonas aeruginosa LESB58.	aminocoumarin
573.12860_contigs.fasta	573.12860_C1	256173	259295	-	mdtB	1-3123/3123	========/======	2/4	99.94	81.28	card	U00096:2155262-2158385	MdtB is a transporter that forms a heteromultimer complex with MdtC to form a multidrug transporter. MdtBC is part of the MdtABC-TolC efflux complex.	aminocoumarin
573.12860_contigs.fasta	573.12860_C10	48654	51767	+	acrD	1-3114/3114	========/======	2/6	99.90	80.17	card	AP009048.1:2586250-2589364	AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.	aminoglycoside
573.12860_contigs.fasta	573.12860_C11	56842	57996	-	Klebsiella_pneumoniae_OmpK37	1-1125/1125	========/======	7/32	99.91	95.24	card	AJ011502.1:300-1425	Klebsiella pneumoniae outer membrane porin protein. Is preferentially detected in porin-deficient strains. Functional characterization of this new porin revealed a narrower pore than those of porins OmpK35 and OmpK36 which did not allow penetration by certain beta-lactams. Also when a resistant strain expresses porin OmpK37 is less susceptible to cefotaxime and cefoxitin than when it is expressing either OmpK36 or OmpK35.	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem
573.12860_contigs.fasta	573.12860_C115	1	579	+	AAC(6')-Ib10	26-604/612	===============	0/0	94.61	100.00	card	U59183:247-859	AAC(6')-Ib10 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa	aminoglycoside
573.12860_contigs.fasta	573.12860_C16	104575	104979	+	H-NS	1-405/414	===============	0/0	97.83	87.16	card	BA000007.3:1738104-1737690	H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.	cephalosporin;cephamycin;fluoroquinolone;macrolide;penam;tetracycline
573.12860_contigs.fasta	573.12860_C17	15253	15885	+	CRP	1-633/633	===============	0/0	100.00	88.15	card	AP009048.1:4154296-4153663	CRP is a global regulator that represses MdtEF multidrug efflux pump expression.	fluoroquinolone;macrolide;penam
573.12860_contigs.fasta	573.12860_C2	86094	87287	+	Klebsiella_pneumoniae_acrA	1-1197/1197	========/======	2/3	99.75	97.74	card	AJ318073.1:793-1990	AcrA is a subunit of the AcrAB multidrug efflux system that in K. pneumoniae which is encoded by the acrRAB operon.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
573.12860_contigs.fasta	573.12860_C2	87310	90454	+	acrB	1-3148/3150	========/======	5/9	99.75	83.85	card	U00096.3:484403-481253	Protein subunit of AcrA-AcrB-TolC multidrug efflux complex. AcrB functions as a herterotrimer which forms the inner membrane component and is primarily responsible for substrate recognition and energy transduction by acting as a drug/proton antiporter.	cephalosporin;fluoroquinolone;glycylcycline;penam;phenicol;rifamycin;tetracycline;triclosan
573.12860_contigs.fasta	573.12860_C20	55904	57270	-	cpxA	1-1367/1374	===============	0/0	99.49	82.08	card	BA000007.3:4905062-4903688	CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.	aminocoumarin;aminoglycoside
573.12860_contigs.fasta	573.12860_C26	7075	8613	-	Klebsiella_pneumoniae_KpnH	1-1539/1539	========/======	2/2	99.94	84.22	card	ASTU01000063.1:61248-62787	KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
573.12860_contigs.fasta	573.12860_C26	8629	9801	-	Klebsiella_pneumoniae_KpnG	1-1173/1173	===============	0/0	100.00	99.49	card	ACWO01000051.1:22092-23265	KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin	aminoglycoside;carbapenem;cephalosporin;fluoroquinolone;macrolide;penam;penem;peptide
573.12860_contigs.fasta	573.12860_C26	9948	10457	-	emrR	1-510/531	===============	0/0	96.05	83.14	card	U00096.3:2810769-2811300	EmrR is a negative regulator for the EmrAB-TolC multidrug efflux pump in E. coli. Mutations lead to EmrAB-TolC overexpression.	fluoroquinolone
573.12860_contigs.fasta	573.12860_C26	54727	57879	-	oqxB	1-3153/3153	===============	0/0	100.00	100.00	card	EU370913.1:47850-51003	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
573.12860_contigs.fasta	573.12860_C26	57903	59078	-	oqxA	1-1176/1176	===============	0/0	100.00	100.00	card	EU370913.1:46651-47827	RND efflux pump conferring resistance to fluoroquinolone	diaminopyrimidine;fluoroquinolone;glycylcycline;nitrofuran;tetracycline
573.12860_contigs.fasta	573.12860_C3	255910	256329	-	FosA6	1-420/420	===============	0/0	100.00	98.81	card	KU254579.1:59421-59841	fosA6 is a plasmid-encoded enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.	fosfomycin
