FT   variation       4428
FT                   /colour=2
FT                   /gene=sdhB
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       596
FT                   /colour=2
FT                   /gene=ppiD
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       670
FT                   /colour=2
FT                   /gene=purK
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       5199
FT                   /colour=2
FT                   /gene=group_5014
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       5834
FT                   /colour=10
FT                   /gene=mpa
FT                   /taxa="573.12860 573.12862"
FT   variation       3148
FT                   /colour=2
FT                   /gene=group_4944
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       1410
FT                   /colour=2
FT                   /gene=group_3526
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       1733
FT                   /colour=2
FT                   /gene=alaC
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       5646
FT                   /colour=2
FT                   /gene=group_261
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       2678
FT                   /colour=2
FT                   /gene=anmK
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       609
FT                   /colour=2
FT                   /gene=ybaY
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       4681
FT                   /colour=2
FT                   /gene=betI_2
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       2549
FT                   /colour=2
FT                   /gene=ppa_1
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       1893
FT                   /colour=2
FT                   /gene=bglB
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       3423
FT                   /colour=2
FT                   /gene=group_3214
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       3330
FT                   /colour=2
FT                   /gene=group_6054
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       72
FT                   /colour=2
FT                   /gene=glcR_2
FT                   /taxa="573.12859 573.12860 573.12862"
FT   variation       4441
FT                   /colour=2
FT                   /gene=dtpD
