locus_tag	ftype	length_bp	gene	EC_number	COG	product
573.12862_00001	gene	609				
573.12862_00001	CDS	609				ISKra4 family transposase ISCep1
573.12862_00002	gene	549	fim			
573.12862_00002	CDS	549	fim			Fimbrial subunit type 1
573.12862_00003	gene	537	fimA_1			
573.12862_00003	CDS	537	fimA_1			Type-1 fimbrial protein, A chain
573.12862_00004	gene	705	fimC_1			
573.12862_00004	CDS	705	fimC_1			Chaperone protein FimC
573.12862_00005	gene	2613	fimD_1			
573.12862_00005	CDS	2613	fimD_1		COG3188	Outer membrane usher protein FimD
573.12862_00006	gene	528	fimF			
573.12862_00006	CDS	528	fimF			Protein FimF
573.12862_00007	gene	501	fimG			
573.12862_00007	CDS	501	fimG			Protein FimG
573.12862_00008	gene	909	fimH			
573.12862_00008	CDS	909	fimH			Type 1 fimbrin D-mannose specific adhesin
573.12862_00009	gene	1323				
573.12862_00009	CDS	1323				hypothetical protein
573.12862_00010	gene	273	yjdJ			
573.12862_00010	CDS	273	yjdJ		COG2388	putative protein YjdJ
573.12862_00011	gene	231				
573.12862_00011	CDS	231				hypothetical protein
573.12862_00012	gene	273				
573.12862_00012	CDS	273				hypothetical protein
573.12862_00013	gene	1026	mdtN			
573.12862_00013	CDS	1026	mdtN		COG1566	Multidrug resistance protein MdtN
573.12862_00014	gene	1938	mdtO			
573.12862_00014	CDS	1938	mdtO		COG1289	Multidrug resistance protein MdtO
573.12862_00015	gene	1449	cusC_1			
573.12862_00015	CDS	1449	cusC_1		COG1538	Cation efflux system protein CusC
573.12862_00016	gene	300				
573.12862_00016	CDS	300				hypothetical protein
573.12862_00017	gene	1554	dtpT			
573.12862_00017	CDS	1554	dtpT		COG3104	Di-/tripeptide transporter
573.12862_00018	gene	423	arsC_1			
573.12862_00018	CDS	423	arsC_1	1.20.4.1		Arsenate reductase
573.12862_00019	gene	1293	arsB_1			
573.12862_00019	CDS	1293	arsB_1		COG1055	Arsenical pump membrane protein
573.12862_00020	gene	330				
573.12862_00020	CDS	330				hypothetical protein
573.12862_00021	gene	294				
573.12862_00021	CDS	294				hypothetical protein
573.12862_00022	gene	573				
573.12862_00022	CDS	573				hypothetical protein
573.12862_00023	gene	927	pgrR_1			
573.12862_00023	CDS	927	pgrR_1			HTH-type transcriptional regulator PgrR
573.12862_00024	gene	309				
573.12862_00024	CDS	309				hypothetical protein
573.12862_00025	gene	558	kefF_1			
573.12862_00025	CDS	558	kefF_1	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
573.12862_00026	gene	1020	yajO_1			
573.12862_00026	CDS	1020	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
573.12862_00027	gene	804				
573.12862_00027	CDS	804				hypothetical protein
573.12862_00028	gene	930	nodD2_1			
573.12862_00028	CDS	930	nodD2_1			Nodulation protein D 2
573.12862_00029	gene	1389	ribZ_1			
573.12862_00029	CDS	1389	ribZ_1			Riboflavin transporter RibZ
573.12862_00030	gene	74				
573.12862_00030	tRNA	74				tRNA-Gly(ccc)
573.12862_00031	gene	714	nlpD_1			
573.12862_00031	CDS	714	nlpD_1		COG0739	Murein hydrolase activator NlpD
573.12862_00032	gene	555	idi			
573.12862_00032	CDS	555	idi	5.3.3.2	COG1443	Isopentenyl-diphosphate Delta-isomerase
573.12862_00033	gene	1518	lysS			
573.12862_00033	CDS	1518	lysS	6.1.1.6	COG1190	Lysine--tRNA ligase
573.12862_00034	gene	963	prfB			
573.12862_00034	CDS	963	prfB		COG1186	Peptide chain release factor RF2
573.12862_00035	gene	1734	recJ			
573.12862_00035	CDS	1734	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
573.12862_00036	gene	714	dsbC			
573.12862_00036	CDS	714	dsbC		COG1651	Thiol:disulfide interchange protein DsbC
573.12862_00037	gene	897	xerD_1			
573.12862_00037	CDS	897	xerD_1		COG4974	Tyrosine recombinase XerD
573.12862_00038	gene	522	fldB			
573.12862_00038	CDS	522	fldB		COG0716	Flavodoxin 2
573.12862_00039	gene	411	ygfX			
573.12862_00039	CDS	411	ygfX			Inner membrane protein YgfX
573.12862_00040	gene	267	sdhE			
573.12862_00040	CDS	267	sdhE		COG2938	FAD assembly factor SdhE
573.12862_00041	gene	984	ygfZ			
573.12862_00041	CDS	984	ygfZ		COG0354	tRNA-modifying protein YgfZ
573.12862_00042	gene	660				
573.12862_00042	CDS	660				hypothetical protein
573.12862_00043	gene	312				
573.12862_00043	CDS	312				hypothetical protein
573.12862_00044	gene	729	glvR			
573.12862_00044	CDS	729	glvR		COG1737	HTH-type transcriptional regulator GlvR
573.12862_00045	gene	1434	bglA_1			
573.12862_00045	CDS	1434	bglA_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase BglA
573.12862_00046	gene	360				
573.12862_00046	CDS	360				hypothetical protein
573.12862_00047	gene	2010	dsbD_1			
573.12862_00047	CDS	2010	dsbD_1	1.8.1.8	COG4232	Thiol:disulfide interchange protein DsbD
573.12862_00048	gene	612				
573.12862_00048	CDS	612				hypothetical protein
573.12862_00049	gene	504	resA			
573.12862_00049	CDS	504	resA			Thiol-disulfide oxidoreductase ResA
573.12862_00050	gene	744	ygfF			
573.12862_00050	CDS	744	ygfF	1.-.-.-		putative oxidoreductase YgfF
573.12862_00051	gene	2874	gcvP			
573.12862_00051	CDS	2874	gcvP	1.4.4.2	COG0403	Glycine dehydrogenase (decarboxylating)
573.12862_00052	gene	390	gcvH			
573.12862_00052	CDS	390	gcvH		COG0509	Glycine cleavage system H protein
573.12862_00053	gene	1095	gcvT			
573.12862_00053	CDS	1095	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
573.12862_00054	gene	1203	ubiI			
573.12862_00054	CDS	1203	ubiI	1.14.13.240	COG0654	2-octaprenylphenol hydroxylase
573.12862_00055	gene	1179	ubiH			
573.12862_00055	CDS	1179	ubiH	1.14.13.-	COG0654	2-octaprenyl-6-methoxyphenol hydroxylase
573.12862_00056	gene	1317	pepP			
573.12862_00056	CDS	1317	pepP	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
573.12862_00057	gene	585				
573.12862_00057	CDS	585				hypothetical protein
573.12862_00058	gene	330	zapA			
573.12862_00058	CDS	330	zapA		COG3027	Cell division protein ZapA
573.12862_00059	gene	597	ygfA			
573.12862_00059	CDS	597	ygfA	6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
573.12862_00060	gene	1233	serA			
573.12862_00060	CDS	1233	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
573.12862_00061	gene	660	rpiA			
573.12862_00061	CDS	660	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
573.12862_00062	gene	894	argP_1			
573.12862_00062	CDS	894	argP_1		COG0583	HTH-type transcriptional regulator ArgP
573.12862_00063	gene	768				
573.12862_00063	CDS	768			COG2968	26 kDa periplasmic immunogenic protein
573.12862_00064	gene	636	argO			
573.12862_00064	CDS	636	argO		COG1279	Arginine exporter protein ArgO
573.12862_00065	gene	858	mscS			
573.12862_00065	CDS	858	mscS		COG0668	Small-conductance mechanosensitive channel
573.12862_00066	gene	1080	fbaA_1			
573.12862_00066	CDS	1080	fbaA_1	4.1.2.13	COG0191	Fructose-bisphosphate aldolase class 2
573.12862_00067	gene	1164	pgk			
573.12862_00067	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
573.12862_00068	gene	1029	epd			
573.12862_00068	CDS	1029	epd	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
573.12862_00069	gene	1992	tktA			
573.12862_00069	CDS	1992	tktA	2.2.1.1	COG0021	Transketolase 1
573.12862_00070	gene	759	loiP			
573.12862_00070	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
573.12862_00071	gene	1269	oprD			
573.12862_00071	CDS	1269	oprD	3.4.21.-		Porin D
573.12862_00072	gene	1641	ilvB_1			
573.12862_00072	CDS	1641	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
573.12862_00073	gene	1470	betB_1			
573.12862_00073	CDS	1470	betB_1	1.2.1.8	COG1012	NAD/NADP-dependent betaine aldehyde dehydrogenase
573.12862_00074	gene	765	nadX			
573.12862_00074	CDS	765	nadX	1.4.1.21	COG1712	L-aspartate dehydrogenase
573.12862_00075	gene	795	baiA1			
573.12862_00075	CDS	795	baiA1	1.1.1.395		3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase 1/3
573.12862_00076	gene	771	menH_1			
573.12862_00076	CDS	771	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
573.12862_00077	gene	531				
573.12862_00077	CDS	531				hypothetical protein
573.12862_00078	gene	1257	sauU			
573.12862_00078	CDS	1257	sauU			putative sulfoacetate transporter SauU
573.12862_00079	gene	1197	cmtAa			
573.12862_00079	CDS	1197	cmtAa	1.18.1.3	COG0446	p-cumate 2,3-dioxygenase system, ferredoxin--NAD(+) reductase component
573.12862_00080	gene	927				
573.12862_00080	CDS	927				hypothetical protein
573.12862_00081	gene	789	pcaR_1			
573.12862_00081	CDS	789	pcaR_1		COG1414	Pca regulon regulatory protein
573.12862_00082	gene	750	pldh-t			
573.12862_00082	CDS	750	pldh-t	1.1.1.107		Pyridoxal 4-dehydrogenase
573.12862_00083	gene	1023				
573.12862_00083	CDS	1023				hypothetical protein
573.12862_00084	gene	309				
573.12862_00084	CDS	309				hypothetical protein
573.12862_00085	gene	324	doxA			
573.12862_00085	CDS	324	doxA			Naphthalene 1,2-dioxygenase system, ferredoxin component
573.12862_00086	gene	1221	lgoT_1			
573.12862_00086	CDS	1221	lgoT_1			putative L-galactonate transporter
573.12862_00087	gene	921	speB			
573.12862_00087	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
573.12862_00088	gene	1977	speA			
573.12862_00088	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
573.12862_00089	gene	1155	metK			
573.12862_00089	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
573.12862_00090	gene	1395	galP			
573.12862_00090	CDS	1395	galP			Galactose-proton symporter
573.12862_00091	gene	459	sprT			
573.12862_00091	CDS	459	sprT			Protein SprT
573.12862_00092	gene	708	endA			
573.12862_00092	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
573.12862_00093	gene	732	rsmE			
573.12862_00093	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
573.12862_00094	gene	951	gshB			
573.12862_00094	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
573.12862_00095	gene	564				
573.12862_00095	CDS	564				hypothetical protein
573.12862_00096	gene	417	yqgF			
573.12862_00096	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
573.12862_00097	gene	654	csgD			
573.12862_00097	CDS	654	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
573.12862_00098	gene	981	yggR			
573.12862_00098	CDS	981	yggR		COG2805	putative protein YggR
573.12862_00099	gene	702	yggS			
573.12862_00099	CDS	702	yggS		COG0325	Pyridoxal phosphate homeostasis protein
573.12862_00100	gene	567				
573.12862_00100	CDS	567				hypothetical protein
573.12862_00101	gene	291				
573.12862_00101	CDS	291				hypothetical protein
573.12862_00102	gene	594	rdgB			
573.12862_00102	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
573.12862_00103	gene	1137	hemW			
573.12862_00103	CDS	1137	hemW		COG0635	Heme chaperone HemW
573.12862_00104	gene	717				
573.12862_00104	CDS	717				hypothetical protein
573.12862_00105	gene	327				
573.12862_00105	CDS	327			COG3171	putative protein
573.12862_00106	gene	720	trmB			
573.12862_00106	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
573.12862_00107	gene	1059	mutY			
573.12862_00107	CDS	1059	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
573.12862_00108	gene	276	yggX			
573.12862_00108	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
573.12862_00109	gene	1086	mltC			
573.12862_00109	CDS	1086	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
573.12862_00110	gene	1254	nupG			
573.12862_00110	CDS	1254	nupG			Nucleoside permease NupG
573.12862_00111	gene	2139	speC			
573.12862_00111	CDS	2139	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
573.12862_00112	gene	714	ydfK_1			
573.12862_00112	CDS	714	ydfK_1		COG1811	putative membrane protein YdfK
573.12862_00113	gene	76				
573.12862_00113	tRNA	76				tRNA-Phe(gaa)
573.12862_00114	gene	948	xerC_1			
573.12862_00114	CDS	948	xerC_1			Tyrosine recombinase XerC
573.12862_00115	gene	1290				
573.12862_00115	CDS	1290				hypothetical protein
573.12862_00116	gene	981	traC_1			
573.12862_00116	CDS	981	traC_1	2.7.7.-		DNA primase TraC
573.12862_00117	gene	606				
573.12862_00117	CDS	606				hypothetical protein
573.12862_00118	gene	348				
573.12862_00118	CDS	348				hypothetical protein
573.12862_00119	gene	399	klcA_1			
573.12862_00119	CDS	399	klcA_1			Antirestriction protein KlcA
573.12862_00120	gene	279				
573.12862_00120	CDS	279				hypothetical protein
573.12862_00121	gene	954				
573.12862_00121	CDS	954				hypothetical protein
573.12862_00122	gene	894				
573.12862_00122	CDS	894				hypothetical protein
573.12862_00123	gene	1191				
573.12862_00123	CDS	1191				hypothetical protein
573.12862_00124	gene	261				
573.12862_00124	CDS	261				hypothetical protein
573.12862_00125	gene	171				
573.12862_00125	CDS	171				hypothetical protein
573.12862_00126	gene	456				
573.12862_00126	CDS	456				hypothetical protein
573.12862_00127	gene	246				
573.12862_00127	CDS	246				hypothetical protein
573.12862_00128	gene	252				
573.12862_00128	CDS	252				hypothetical protein
573.12862_00129	gene	300				
573.12862_00129	CDS	300				hypothetical protein
573.12862_00130	gene	1530				
573.12862_00130	CDS	1530				hypothetical protein
573.12862_00131	gene	342				
573.12862_00131	CDS	342				hypothetical protein
573.12862_00132	gene	1422				
573.12862_00132	CDS	1422				hypothetical protein
573.12862_00133	gene	942				
573.12862_00133	CDS	942				hypothetical protein
573.12862_00134	gene	396				
573.12862_00134	CDS	396				hypothetical protein
573.12862_00135	gene	1599				
573.12862_00135	CDS	1599				hypothetical protein
573.12862_00136	gene	1011				
573.12862_00136	CDS	1011				hypothetical protein
573.12862_00137	gene	294	symE_1			
573.12862_00137	CDS	294	symE_1	3.1.-.-		Toxic protein SymE
573.12862_00138	gene	1116				
573.12862_00138	CDS	1116				hypothetical protein
573.12862_00139	gene	1368				
573.12862_00139	CDS	1368				hypothetical protein
573.12862_00140	gene	705				
573.12862_00140	CDS	705				hypothetical protein
573.12862_00141	gene	2775				
573.12862_00141	CDS	2775				hypothetical protein
573.12862_00142	gene	399				
573.12862_00142	CDS	399				hypothetical protein
573.12862_00143	gene	1482				
573.12862_00143	CDS	1482				hypothetical protein
573.12862_00144	gene	846				
573.12862_00144	CDS	846				hypothetical protein
573.12862_00145	gene	654				
573.12862_00145	CDS	654				hypothetical protein
573.12862_00146	gene	372				
573.12862_00146	CDS	372				hypothetical protein
573.12862_00147	gene	354				
573.12862_00147	CDS	354				hypothetical protein
573.12862_00148	gene	237				
